time(s),boardID,aX,aY,aZ,gX,gY,gZ
0.51,1,-0.96,-0.09,0.08,-23.06,-29.65,12.47
0.52,1,-0.91,-0.07,0.21,-8.12,-27.67,10.83
0.52,1,-0.93,-0.02,0.18,-6.64,-19.31,9.84
0.52,1,-0.89,0.03,0.20,-1.13,-24.29,6.62
0.52,1,-0.91,0.03,0.24,-3.51,-18.72,3.37
0.53,1,-0.90,0.04,0.24,-7.74,-10.32,1.79
0.53,1,-0.89,0.06,0.25,-11.79,-1.74,-5.06
0.53,1,-0.90,0.03,0.26,-15.71,7.77,-4.99
0.54,1,-0.93,0.00,0.26,-19.98,10.97,-4.44
0.54,1,-0.94,0.01,0.22,-20.12,9.33,-1.37
0.54,1,-0.91,0.02,0.22,-16.15,4.08,-1.27
0.55,1,-0.91,0.02,0.23,-12.50,0.37,-1.50
0.55,1,-0.92,0.03,0.23,-8.62,0.00,-0.15
0.55,1,-0.91,0.03,0.23,-9.71,0.44,-6.66
0.55,1,-0.92,0.01,0.22,-9.68,1.46,-5.68
0.55,1,-0.93,-0.00,0.23,-11.44,0.42,-3.20
0.56,1,-0.93,0.01,0.23,-15.49,-2.12,-1.50
0.56,1,-0.92,0.02,0.23,-17.18,-5.34,0.69
0.56,1,-0.91,0.02,0.23,-17.35,-6.86,-1.71
0.56,1,-0.91,0.01,0.25,-15.90,-6.26,-0.64
0.56,1,-0.93,0.01,0.25,-13.91,-3.87,5.00
0.57,1,-0.91,0.02,0.26,-13.60,0.49,4.01
0.57,1,-0.90,0.03,0.24,-13.93,7.82,-2.11
0.57,1,-0.85,0.05,0.19,-15.82,6.50,-9.06
0.57,1,-0.91,0.01,0.22,-17.27,6.55,-14.67
0.57,1,-0.93,-0.01,0.22,-14.60,6.52,-11.85
0.58,1,-0.82,0.08,0.16,-12.87,8.23,-6.50
0.58,1,-0.99,-0.00,0.21,-14.56,18.75,-16.02
0.58,1,-0.93,-0.06,0.16,-14.33,27.89,-22.95
0.58,1,-0.86,-0.18,-0.05,-19.33,50.02,-31.16
0.58,1,-0.88,-0.11,0.03,-14.25,50.52,-24.26
0.58,1,-0.89,-0.14,-0.04,-16.68,52.92,-24.62
0.58,1,-0.27,-0.46,0.10,-34.09,19.64,-12.08
0.59,1,-0.95,-0.30,-0.17,-21.50,13.86,0.26
0.59,1,-0.79,-0.21,-0.10,-19.66,12.08,2.47
0.59,1,-0.88,-0.10,-0.10,-7.94,-5.10,3.56
0.59,1,-0.91,-0.18,-0.14,-6.37,-3.11,-1.93
0.59,1,-0.93,-0.18,-0.14,-6.82,6.73,-1.92
0.6,1,-0.92,-0.00,-0.29,-17.11,10.48,-4.15
0.6,1,-0.89,-0.17,-0.11,-10.29,-3.82,1.72
0.6,1,-0.88,-0.17,-0.15,-11.17,-0.82,-0.65
0.6,1,-0.90,-0.16,-0.16,-12.68,-0.30,-1.53
0.6,1,-0.87,-0.16,-0.17,-12.98,1.55,-1.88
0.61,1,-0.87,-0.15,-0.16,-14.00,-0.26,-1.79
0.61,1,-0.87,-0.16,-0.15,-14.25,-1.66,-0.99
0.61,1,-0.87,-0.16,-0.16,-14.43,-2.34,-1.21
0.61,1,-0.89,-0.16,-0.16,-14.04,-3.08,-0.63
0.61,1,-0.89,-0.15,-0.16,-13.27,-2.73,-0.73
0.61,1,-0.88,-0.15,-0.14,-13.83,-1.94,-1.02
0.62,1,-0.88,-0.15,-0.14,-14.53,-0.99,-1.55
0.62,1,-0.88,-0.15,-0.14,-14.53,0.15,-1.80
0.62,1,-0.89,-0.15,-0.15,-13.73,1.17,-2.45
0.62,1,-0.88,-0.16,-0.15,-13.20,1.14,-2.40
0.62,1,-0.88,-0.16,-0.16,-14.61,1.00,-2.11
0.63,1,-0.88,-0.16,-0.15,-14.76,1.77,-2.51
0.63,1,-0.88,-0.15,-0.15,-13.76,1.66,-2.56
0.63,1,-0.88,-0.16,-0.15,-13.01,0.78,-2.20
0.63,1,-0.88,-0.16,-0.15,-13.23,-0.63,-1.48
0.63,1,-0.87,-0.16,-0.15,-14.40,-1.73,-0.98
0.63,1,-0.88,-0.16,-0.16,-14.27,-1.65,-1.21
0.64,1,-0.87,-0.15,-0.15,-12.88,-2.02,-0.99
0.64,1,-0.88,-0.16,-0.16,-14.71,-2.67,-0.83
0.64,1,-0.88,-0.15,-0.15,-15.60,-2.36,-1.47
0.64,1,-0.88,-0.15,-0.14,-15.12,-1.85,-1.69
0.64,1,-0.89,-0.15,-0.14,-14.02,-0.66,-1.85
0.65,1,-0.89,-0.15,-0.14,-13.62,1.07,-2.46
0.65,1,-0.89,-0.15,-0.14,-14.40,2.29,-3.04
0.65,1,-0.88,-0.15,-0.15,-14.59,3.84,-3.21
0.65,1,-0.88,-0.16,-0.16,-14.15,3.59,-3.15
0.66,1,-0.88,-0.16,-0.17,-14.13,1.80,-2.63
0.66,1,-0.88,-0.17,-0.17,-14.18,-0.48,-2.04
0.66,1,-0.88,-0.16,-0.17,-15.53,-2.39,-1.40
0.66,1,-0.87,-0.16,-0.17,-14.72,-2.43,-1.06
0.66,1,-0.87,-0.15,-0.17,-12.76,-1.94,-0.67
0.66,1,-0.87,-0.16,-0.15,-13.32,-1.66,-1.39
0.67,1,-0.88,-0.15,-0.16,-14.69,-1.52,-1.42
0.67,1,-0.88,-0.16,-0.16,-14.40,-1.00,-1.28
0.67,1,-0.88,-0.15,-0.15,-13.62,-1.04,-1.55
0.67,1,-0.88,-0.16,-0.16,-12.78,-1.02,-1.34
0.68,1,-0.88,-0.15,-0.15,-14.53,-1.34,-1.58
0.68,1,-0.87,-0.15,-0.15,-14.21,-0.74,-1.37
0.68,1,-0.88,-0.16,-0.15,-12.56,0.89,-1.70
0.68,1,-0.88,-0.16,-0.15,-11.63,2.53,-2.05
0.68,1,-0.88,-0.15,-0.15,-12.48,2.28,-2.22
0.68,1,-0.88,-0.16,-0.15,-13.86,0.25,-1.69
0.69,1,-0.88,-0.15,-0.15,-14.53,-1.35,-1.29
0.69,1,-0.88,-0.15,-0.15,-13.95,-0.11,-2.01
0.69,1,-0.88,-0.15,-0.15,-13.94,0.69,-2.50
0.69,1,-0.88,-0.16,-0.16,-14.78,-0.40,-1.77
0.69,1,-0.88,-0.16,-0.17,-14.79,-1.21,-1.40
0.7,1,-0.88,-0.16,-0.16,-13.74,-1.89,-1.19
0.7,1,-0.88,-0.16,-0.16,-12.61,-2.30,-0.63
0.7,1,-0.88,-0.16,-0.15,-13.64,-2.47,-0.88
0.7,1,-0.89,-0.15,-0.15,-14.31,-1.60,-1.08
0.7,1,-0.89,-0.16,-0.14,-13.46,-0.09,-1.72
